area_code,sla_code,unemployed
205054605,205054605,447
205054608,205054608,1855
205055901,205055901,1446
205055902,205055902,766
205056351,205056351,1084
205057351,205057351,1362
205057352,205057352,713
205101181,205101181,3013
205101182,205101182,3652
205103111,205103111,1616
105252854,105252854,2566
205103112,205103112,657
205104330,205104330,2620
205105063,205105063,1821
205105065,205105065,872
205204651,205204651,1023
205204654,205204654,1313
205207261,205207261,2179
205207264,205207264,305
205207267,205207267,585
205255251,205255251,1348
105254901,105254901,3369
205255252,205255252,1230
205255253,205255253,1268
205300661,205300661,1396
205300662,205300662,1077
205301891,205301891,1182
205301892,205301892,2732
205353271,205353271,2427
205353274,205353274,1462
205353275,205353275,743
205405713,205405713,459
105254904,105254904,1842
205405715,205405715,384
205405718,205405718,171
205407071,205407071,415
205407075,205407075,1103
205407076,205407076,1921
205451111,205451111,830
205451112,205451112,909
205451113,205451113,846
205451114,205451114,525
205504211,205504211,232
105301450,105301450,998
205504214,205504214,2094
205504971,205504971,1573
205504974,205504974,1279
205504975,205504975,1562
205506981,205506981,1412
205506984,205506984,880
205506985,205506985,1007
205553672,205553672,1533
205553673,205553673,1027
205553674,205553674,758
105301501,105301501,2756
205554411,205554411,1175
205554412,205554412,819
205607451,205607451,393
205607452,205607452,684
205607453,205607453,1356
205607454,205607454,267
205607456,205607456,254
205650911,205650911,538
205650912,205650912,871
205652311,205652311,1736
105301504,105301504,2342
205652314,205652314,830
205653431,205653431,2072
205653434,205653434,1005
205656352,205656352,927
205752671,205752671,2082
205752674,205752674,2920
205801452,205801452,477
205801453,205801453,636
205801454,205801454,91
205801612,205801612,1871
105308400,105308400,879
205801613,205801613,1952
205801616,205801616,1625
205801618,205801618,241
205852171,205852171,1023
205852174,205852174,2426
205905341,205905341,855
205905344,205905344,1025
205905345,205905345,948
210052751,210052751,642
210052752,210052752,2054
105350150,105350150,1104
210052753,210052753,371
210052754,210052754,433
210052755,210052755,231
210052756,210052756,1250
210102757,210102757,750
210106080,210106080,37
210106493,210106493,261
210106495,210106495,156
210151751,210151751,237
210151754,210151754,130
105351300,105351300,954
210151755,210151755,87
210152491,210152491,216
210152492,210152492,197
210152758,210152758,52
215016730,215016730,764
215051831,215051831,171
215051832,215051832,111
215055491,215055491,29
215055493,215055493,40
215055496,215055496,182
105055200,105055200,2033
105351521,105351521,610
215058469,215058469,0
215102411,215102411,137
215102412,215102412,79
215102413,215102413,379
215106261,215106261,204
215106264,215106264,44
215106265,215106265,80
220050571,220050571,1172
220050572,220050572,726
220050573,220050573,20
105351524,105351524,528
220050574,220050574,647
220102911,220102911,222
220102912,220102912,166
220105151,220105151,363
220105154,220105154,197
220105155,220105155,88
220150260,220150260,304
220155991,220155991,111
220155994,220155994,99
225053191,225053191,389
105357100,105357100,883
225053194,225053194,83
225055811,225055811,79
225055814,225055814,203
225056890,225056890,64
225102980,225102980,135
225107631,225107631,30
225107632,225107632,109
230054781,230054781,1239
230101271,230101271,45
230101272,230101272,48
105400200,105400200,2319
230104782,230104782,59
230152250,230152250,216
230156611,230156611,200
230156614,230156614,82
230156616,230156616,171
235052621,235052621,668
235052622,235052622,324
235052623,235052623,749
235052624,235052624,278
235052625,235052625,415
105403950,105403950,2831
235052626,235052626,104
235101671,235101671,258
235101674,235101674,193
235102628,235102628,331
235103943,235103943,54
235103945,235103945,142
235105431,235105431,183
235105434,235105434,295
235204131,235204131,214
235204134,235204134,179
